city,state,natural_hs,natural_college,foreign_hs,foreign_college
Statewide,Arkansas,0.9,0.33,0.59,0.37
Statewide,California,0.91,0.31,0.67,0.37
Statewide,Colorado,0.94,0.41,0.72,0.42
Statewide,Connecticut,0.89,0.33,0.72,0.34
Statewide,Florida,0.91,0.3,0.8,0.33
Statewide,Georgia,0.9,0.41,0.79,0.51
Statewide,Hawaii,0.95,0.4,0.76,0.34
Statewide,Idaho,0.93,0.31,0.68,0.32
Statewide,Illinois,0.91,0.37,0.73,0.47
Statewide,Indiana,0.91,0.37,0.75,0.53
Statewide,Iowa,0.92,0.27,0.63,0.33
Statewide,Kansas,0.93,0.39,0.7,0.46
Statewide,Kentucky,0.91,0.4,0.73,0.55
Statewide,Louisiana,0.87,0.32,0.74,0.49
Statewide,Maryland,0.97,0.62,0.81,0.55
Statewide,Massachusetts,0.89,0.36,0.69,0.37
Statewide,Michigan,0.91,0.34,0.75,0.51
Statewide,Minnesota,0.95,0.43,0.76,0.46
Statewide,Mississippi,0.84,0.26,0.68,0.47
Statewide,Missouri,0.91,0.33,0.77,0.43
Statewide,Montana,0.93,0.31,0.86,0.26
Statewide,Nebraska,0.95,0.36,0.6,0.41
Statewide,Nevada,0.91,0.24,0.68,0.29
Statewide,NewHampshire,0.91,0.31,0.74,0.42
Statewide,NewJersey,0.85,0.2,0.7,0.28
Statewide,NewMexico,0.93,0.32,0.67,0.43
Statewide,NewYork,0.88,0.33,0.71,0.42
Statewide,NorthCarolina,0.92,0.4,0.71,0.46
Statewide,NorthDakota,0.96,0.38,0.83,0.55
Statewide,Ohio,0.85,0.2,0.71,0.39
Statewide,Oklahoma,0.93,0.35,0.77,0.45
Statewide,Oregon,0.93,0.33,0.66,0.39
Statewide,Pennsylvania,0.87,0.22,0.69,0.39
Statewide,RhodeIsland,0.89,0.34,0.71,0.33
Statewide,SouthCarolina,0.91,0.42,0.8,0.53
Statewide,SouthDakota,0.93,0.34,0.63,0.32
Statewide,Tennessee,0.9,0.29,0.72,0.4
Statewide,Texas,0.9,0.32,0.64,0.41
Statewide,Utah,0.93,0.32,0.67,0.31
Statewide,Virginia,0.9,0.37,0.8,0.45
Statewide,Washington,0.93,0.31,0.73,0.34
Statewide,Wisconsin,0.91,0.31,0.62,0.35
